ID,Input File,Run Number,Mutations Rate (%),Number of Mutations,Corrected Errors,Perfect Retrieval(0/1)
20230814030717,random300000_encoded_text.txt,85,5e-07,1,1,1
20230814030717,random300000_encoded_text.txt,86,5e-07,1,1,1
20230814030717,random300000_encoded_text.txt,87,5e-07,1,0,1
20230814030717,random300000_encoded_text.txt,88,5e-07,1,0,1
20230814030717,random300000_encoded_text.txt,89,5e-07,1,0,1
20230814030717,random300000_encoded_text.txt,90,5e-07,1,1,1
20230814030717,random300000_encoded_text.txt,91,5e-07,1,0,1
20230814030717,random300000_encoded_text.txt,92,5e-07,1,0,1
20230814030717,random300000_encoded_text.txt,93,5e-07,1,1,1
20230814030717,random300000_encoded_text.txt,94,5e-07,1,0,1
20230814030717,random300000_encoded_text.txt,95,5e-07,1,1,1
20230814030717,random300000_encoded_text.txt,96,5e-07,1,1,1
20230814030717,random300000_encoded_text.txt,97,5e-07,1,1,1
20230814030717,random300000_encoded_text.txt,98,5e-07,1,1,1
20230814030717,random300000_encoded_text.txt,99,5e-07,1,1,1
20230814030717,random300000_encoded_text.txt,100,5e-07,1,0,1
20230814031148,random300000_encoded_text.txt,1,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,2,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,3,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,4,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,5,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,6,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,7,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,8,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,9,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,10,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,11,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,12,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,13,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,14,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,15,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,16,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,17,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,18,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,19,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,20,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,21,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,22,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,23,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,24,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,25,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,26,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,27,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,28,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,29,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,30,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,31,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,32,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,33,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,34,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,35,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,36,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,37,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,38,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,39,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,40,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,41,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,42,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,43,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,44,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,45,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,46,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,47,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,48,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,49,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,50,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,51,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,52,1e-07,0,0,1
20230814031148,random300000_encoded_text.txt,53,1e-07,0,0,1
