ID,Input File,Run Number,Mutations Rate (%),Number of Mutations,Corrected Errors,Perfect Retrieval(0/1)
20230814173611,bible_encoded_text.txt,9,5e-07,15,11,1
20230814173611,bible_encoded_text.txt,10,5e-07,15,7,1
20230814173611,bible_encoded_text.txt,11,5e-07,15,7,1
20230814173611,bible_encoded_text.txt,12,5e-07,15,9,1
20230814173611,bible_encoded_text.txt,13,5e-07,15,6,1
20230814173611,bible_encoded_text.txt,14,5e-07,15,7,1
20230814173611,bible_encoded_text.txt,15,5e-07,15,9,1
20230814173611,bible_encoded_text.txt,16,5e-07,15,6,1
20230814173611,bible_encoded_text.txt,17,5e-07,15,7,1
20230814173611,bible_encoded_text.txt,18,5e-07,15,5,1
20230814173611,bible_encoded_text.txt,19,5e-07,15,5,1
20230814173611,bible_encoded_text.txt,20,5e-07,15,7,1
20230814174321,bible_encoded_text.txt,1,1e-07,3,3,1
20230814174321,bible_encoded_text.txt,2,1e-07,3,1,1
20230814174321,bible_encoded_text.txt,3,1e-07,3,3,1
20230814174321,bible_encoded_text.txt,4,1e-07,3,0,1
20230814174321,bible_encoded_text.txt,5,1e-07,3,3,1
20230814174321,bible_encoded_text.txt,6,1e-07,3,3,1
20230814174321,bible_encoded_text.txt,7,1e-07,3,3,1
20230814174321,bible_encoded_text.txt,8,1e-07,3,1,1
20230814174321,bible_encoded_text.txt,9,1e-07,3,1,1
20230814174321,bible_encoded_text.txt,10,1e-07,3,3,1
20230814174321,bible_encoded_text.txt,11,1e-07,3,1,1
20230814174321,bible_encoded_text.txt,12,1e-07,3,2,1
20230814174321,bible_encoded_text.txt,13,1e-07,3,3,1
20230814174321,bible_encoded_text.txt,14,1e-07,3,2,1
20230814174321,bible_encoded_text.txt,15,1e-07,3,2,1
20230814174321,bible_encoded_text.txt,16,1e-07,3,3,1
20230814174321,bible_encoded_text.txt,17,1e-07,3,0,1
20230814174321,bible_encoded_text.txt,18,1e-07,3,2,1
20230814174321,bible_encoded_text.txt,19,1e-07,3,2,1
20230814174321,bible_encoded_text.txt,20,1e-07,3,2,1
